"Device Name: 現像室","Model: TR-72wf","Serial Number: 52151BD3"
"2023-05-04 10:13:19","45050.425914352","9.8","64"
"2023-05-04 10:23:19","45050.432858796","9.8","65"
"2023-05-04 10:33:19","45050.439803241","9.9","65"
"2023-05-04 10:43:19","45050.446747685","9.9","65"
"2023-05-04 10:53:19","45050.45369213","10.1","65"
"2023-05-04 11:03:19","45050.460636574","10.3","65"
"2023-05-04 11:13:19","45050.467581019","10.3","64"
"2023-05-04 11:23:19","45050.474525463","10.3","65"
"2023-05-04 11:33:19","45050.481469907","10.4","64"
"2023-05-04 11:43:19","45050.488414352","10.4","64"
"2023-05-04 11:53:19","45050.495358796","10.4","64"
"2023-05-04 12:03:19","45050.502303241","10.5","64"
"2023-05-04 12:13:19","45050.509247685","10.5","64"
"2023-05-04 12:23:19","45050.51619213","10.5","63"
"2023-05-04 12:33:19","45050.523136574","10.5","62"
"2023-05-04 12:43:19","45050.530081019","10.4","61"
"2023-05-04 12:53:19","45050.537025463","10.3","61"
"2023-05-04 13:03:19","45050.543969907","10.6","60"
"2023-05-04 13:13:19","45050.550914352","11.1","59"
"2023-05-04 13:23:19","45050.557858796","11.2","58"
"2023-05-04 13:33:19","45050.564803241","10.6","57"
"2023-05-04 13:43:19","45050.571747685","13.7","75"
"2023-05-04 13:53:19","45050.57869213","15.9","67"
"2023-05-04 14:03:19","45050.585636574","17.0","60"
"2023-05-04 14:13:19","45050.592581019","16.7","66"
"2023-05-04 14:23:19","45050.599525463","16.6","60"
"2023-05-04 14:33:19","45050.606469907","16.9","60"
"2023-05-04 14:43:19","45050.613414352","17.7","60"
"2023-05-04 14:53:19","45050.620358796","18.7","59"
"2023-05-04 15:03:19","45050.627303241","19.2","59"
"2023-05-04 15:13:19","45050.634247685","19.6","60"
"2023-05-04 15:23:19","45050.64119213","19.8","61"
"2023-05-04 15:33:19","45050.648136574","20.0","61"
"2023-05-04 15:43:19","45050.655081019","20.3","62"
"2023-05-04 15:53:19","45050.662025463","20.5","63"
"2023-05-04 16:03:19","45050.668969907","20.6","64"
"2023-05-04 16:13:19","45050.675914352","20.7","64"
"2023-05-04 16:23:19","45050.682858796","20.9","65"
"2023-05-04 16:33:19","45050.689803241","21.0","66"
"2023-05-04 16:43:19","45050.696747685","21.0","66"
"2023-05-04 16:53:19","45050.70369213","21.1","67"
"2023-05-04 17:03:19","45050.710636574","20.9","68"
"2023-05-04 17:13:19","45050.717581019","20.5","69"
"2023-05-04 17:23:19","45050.724525463","19.9","71"
"2023-05-04 17:33:19","45050.731469907","19.4","73"
"2023-05-04 17:43:19","45050.738414352","18.9","74"
"2023-05-04 17:53:19","45050.745358796","18.5","76"
"2023-05-04 18:03:19","45050.752303241","18.2","77"
"2023-05-04 18:13:19","45050.759247685","17.9","77"
"2023-05-04 18:23:19","45050.76619213","17.6","78"
"2023-05-04 18:33:19","45050.773136574","17.4","79"
"2023-05-04 18:43:19","45050.780081019","17.2","80"
"2023-05-04 18:53:19","45050.787025463","17.1","80"
"2023-05-04 19:03:19","45050.793969907","16.9","79"
"2023-05-04 19:13:19","45050.800914352","16.8","79"
"2023-05-04 19:23:19","45050.807858796","16.6","79"
"2023-05-04 19:33:19","45050.814803241","16.5","79"
"2023-05-04 19:43:19","45050.821747685","16.4","79"
"2023-05-04 19:53:19","45050.82869213","16.2","80"
"2023-05-04 20:03:19","45050.835636574","16.1","80"
"2023-05-04 20:13:19","45050.842581019","16.0","80"
"2023-05-04 20:23:19","45050.849525463","15.9","80"
"2023-05-04 20:33:19","45050.856469907","15.8","80"
"2023-05-04 20:43:19","45050.863414352","15.7","80"
"2023-05-04 20:53:19","45050.870358796","15.6","80"
"2023-05-04 21:03:19","45050.877303241","15.6","80"
"2023-05-04 21:13:19","45050.884247685","15.5","80"
"2023-05-04 21:23:19","45050.89119213","15.4","80"
"2023-05-04 21:33:19","45050.898136574","15.3","81"
"2023-05-04 21:43:19","45050.905081019","15.3","81"
"2023-05-04 21:53:19","45050.912025463","15.2","81"
"2023-05-04 22:03:19","45050.918969907","15.1","81"
"2023-05-04 22:13:19","45050.925914352","15.0","81"
"2023-05-04 22:23:19","45050.932858796","15.0","81"
"2023-05-04 22:33:19","45050.939803241","14.9","81"
"2023-05-04 22:43:19","45050.946747685","14.9","81"
"2023-05-04 22:53:19","45050.95369213","14.8","81"
"2023-05-04 23:03:19","45050.960636574","14.8","81"
"2023-05-04 23:13:19","45050.967581019","14.7","81"
"2023-05-04 23:23:19","45050.974525463","14.7","81"
"2023-05-04 23:33:19","45050.981469907","14.6","81"
"2023-05-04 23:43:19","45050.988414352","14.6","81"
"2023-05-04 23:53:19","45050.995358796","14.5","82"
"2023-05-05 00:03:19","45051.002303241","14.5","82"
"2023-05-05 00:13:19","45051.009247685","14.4","82"
"2023-05-05 00:23:19","45051.01619213","14.4","82"
"2023-05-05 00:33:19","45051.023136574","14.3","82"
"2023-05-05 00:43:19","45051.030081019","14.3","82"
"2023-05-05 00:53:19","45051.037025463","14.3","82"
"2023-05-05 01:03:19","45051.043969907","14.2","82"
"2023-05-05 01:13:19","45051.050914352","14.2","82"
"2023-05-05 01:23:19","45051.057858796","14.1","82"
"2023-05-05 01:33:19","45051.064803241","14.1","82"
"2023-05-05 01:43:19","45051.071747685","14.1","82"
"2023-05-05 01:53:19","45051.07869213","14.0","82"
"2023-05-05 02:03:19","45051.085636574","14.0","83"
"2023-05-05 02:13:19","45051.092581019","14.0","83"
"2023-05-05 02:23:19","45051.099525463","13.9","83"
"2023-05-05 02:33:19","45051.106469907","13.9","83"
"2023-05-05 02:43:19","45051.113414352","13.8","83"
"2023-05-05 02:53:19","45051.120358796","13.8","83"
"2023-05-05 03:03:19","45051.127303241","13.8","83"
"2023-05-05 03:13:19","45051.134247685","13.7","83"
"2023-05-05 03:23:19","45051.14119213","13.7","83"
"2023-05-05 03:33:19","45051.148136574","13.7","83"
"2023-05-05 03:43:19","45051.155081019","13.7","83"
"2023-05-05 03:53:19","45051.162025463","13.7","83"
"2023-05-05 04:03:19","45051.168969907","13.6","83"
"2023-05-05 04:13:19","45051.175914352","13.5","84"
"2023-05-05 04:23:19","45051.182858796","13.4","84"
"2023-05-05 04:33:19","45051.189803241","13.3","83"
"2023-05-05 04:43:19","45051.196747685","13.2","83"
"2023-05-05 04:53:19","45051.20369213","13.1","83"
"2023-05-05 05:03:19","45051.210636574","13.0","83"
"2023-05-05 05:13:19","45051.217581019","12.9","82"
"2023-05-05 05:23:19","45051.224525463","12.8","82"
"2023-05-05 05:33:19","45051.231469907","12.7","82"
"2023-05-05 05:43:19","45051.238414352","12.6","82"
"2023-05-05 05:53:19","45051.245358796","12.6","82"
"2023-05-05 06:03:19","45051.252303241","12.5","81"
"2023-05-05 06:13:19","45051.259247685","12.4","81"
"2023-05-05 06:23:19","45051.26619213","12.3","81"
"2023-05-05 06:33:19","45051.273136574","12.3","81"
"2023-05-05 06:43:19","45051.280081019","12.2","81"
"2023-05-05 06:53:19","45051.287025463","12.1","81"
"2023-05-05 07:03:19","45051.293969907","12.0","81"
"2023-05-05 07:13:19","45051.300914352","12.0","81"
"2023-05-05 07:23:19","45051.307858796","11.9","81"
"2023-05-05 07:33:19","45051.314803241","11.9","81"
"2023-05-05 07:43:19","45051.321747685","11.9","81"
"2023-05-05 07:53:19","45051.32869213","11.8","81"
"2023-05-05 08:03:19","45051.335636574","11.8","81"
"2023-05-05 08:13:19","45051.342581019","11.8","82"
"2023-05-05 08:23:19","45051.349525463","11.8","82"
"2023-05-05 08:33:19","45051.356469907","11.8","82"
"2023-05-05 08:43:19","45051.363414352","11.7","82"
"2023-05-05 08:53:19","45051.370358796","11.7","82"
"2023-05-05 09:03:19","45051.377303241","11.7","82"
"2023-05-05 09:13:19","45051.384247685","11.7","82"
"2023-05-05 09:23:19","45051.39119213","11.7","82"
"2023-05-05 09:33:19","45051.398136574","11.7","82"
"2023-05-05 09:43:19","45051.405081019","11.7","82"
"2023-05-05 09:53:19","45051.412025463","11.6","82"
"2023-05-05 10:03:19","45051.418969907","11.6","82"
"2023-05-05 10:13:19","45051.425914352","11.6","82"
"2023-05-05 10:23:19","45051.432858796","11.6","83"
"2023-05-05 10:33:19","45051.439803241","11.6","83"
"2023-05-05 10:43:19","45051.446747685","11.6","83"
"2023-05-05 10:53:19","45051.45369213","11.6","83"
"2023-05-05 11:03:19","45051.460636574","11.6","83"
"2023-05-05 11:13:19","45051.467581019","11.5","83"
"2023-05-05 11:23:19","45051.474525463","11.5","83"
"2023-05-05 11:33:19","45051.481469907","11.5","83"
"2023-05-05 11:43:19","45051.488414352","11.5","83"
"2023-05-05 11:53:19","45051.495358796","11.5","83"
"2023-05-05 12:03:19","45051.502303241","11.5","84"
"2023-05-05 12:13:19","45051.509247685","11.5","84"
"2023-05-05 12:23:19","45051.51619213","11.5","84"
"2023-05-05 12:33:19","45051.523136574","11.5","84"
"2023-05-05 12:43:19","45051.530081019","11.5","84"
"2023-05-05 12:53:19","45051.537025463","11.5","84"
"2023-05-05 13:03:19","45051.543969907","11.5","84"
"2023-05-05 13:13:19","45051.550914352","11.5","84"
"2023-05-05 13:23:19","45051.557858796","11.5","84"
"2023-05-05 13:33:19","45051.564803241","11.5","84"
"2023-05-05 13:43:19","45051.571747685","11.5","84"
"2023-05-05 13:53:19","45051.57869213","11.5","84"
"2023-05-05 14:03:19","45051.585636574","11.5","84"
"2023-05-05 14:13:19","45051.592581019","11.5","84"
"2023-05-05 14:23:19","45051.599525463","11.5","84"
"2023-05-05 14:33:19","45051.606469907","11.5","84"
"2023-05-05 14:43:19","45051.613414352","11.4","85"
"2023-05-05 14:53:19","45051.620358796","11.4","85"
"2023-05-05 15:03:19","45051.627303241","11.4","85"
"2023-05-05 15:13:19","45051.634247685","11.4","85"
"2023-05-05 15:23:19","45051.64119213","11.4","85"
"2023-05-05 15:33:19","45051.648136574","11.4","85"
"2023-05-05 15:43:19","45051.655081019","11.4","85"
"2023-05-05 15:53:19","45051.662025463","11.3","85"
"2023-05-05 16:03:19","45051.668969907","11.3","85"
"2023-05-05 16:13:19","45051.675914352","11.3","85"
"2023-05-05 16:23:19","45051.682858796","11.3","85"
"2023-05-05 16:33:19","45051.689803241","11.2","85"
"2023-05-05 16:43:19","45051.696747685","11.2","85"
"2023-05-05 16:53:19","45051.70369213","11.2","85"
"2023-05-05 17:03:19","45051.710636574","11.1","85"
"2023-05-05 17:13:19","45051.717581019","11.1","84"
"2023-05-05 17:23:19","45051.724525463","11.0","84"
"2023-05-05 17:33:19","45051.731469907","11.0","84"
"2023-05-05 17:43:19","45051.738414352","10.9","84"
"2023-05-05 17:53:19","45051.745358796","10.9","84"
"2023-05-05 18:03:19","45051.752303241","10.8","84"
"2023-05-05 18:13:19","45051.759247685","10.7","84"
"2023-05-05 18:23:19","45051.76619213","10.7","84"
"2023-05-05 18:33:19","45051.773136574","10.6","84"
"2023-05-05 18:43:19","45051.780081019","10.6","84"
"2023-05-05 18:53:19","45051.787025463","10.5","84"
"2023-05-05 19:03:19","45051.793969907","10.5","84"
"2023-05-05 19:13:19","45051.800914352","10.4","84"
"2023-05-05 19:23:19","45051.807858796","10.4","84"
"2023-05-05 19:33:19","45051.814803241","10.3","84"
"2023-05-05 19:43:19","45051.821747685","10.3","84"
"2023-05-05 19:53:19","45051.82869213","10.2","84"
"2023-05-05 20:03:19","45051.835636574","10.2","84"
"2023-05-05 20:13:19","45051.842581019","10.1","85"
"2023-05-05 20:23:19","45051.849525463","10.1","85"
"2023-05-05 20:33:19","45051.856469907","10.1","85"
"2023-05-05 20:43:19","45051.863414352","10.0","85"
"2023-05-05 20:53:19","45051.870358796","10.0","85"
"2023-05-05 21:03:19","45051.877303241","9.9","85"
"2023-05-05 21:13:19","45051.884247685","9.9","85"
"2023-05-05 21:23:19","45051.89119213","9.9","85"
"2023-05-05 21:33:19","45051.898136574","9.8","85"
"2023-05-05 21:43:19","45051.905081019","9.8","85"
"2023-05-05 21:53:19","45051.912025463","9.8","85"
"2023-05-05 22:03:19","45051.918969907","9.7","85"
"2023-05-05 22:13:19","45051.925914352","9.7","85"
"2023-05-05 22:23:19","45051.932858796","9.7","85"
"2023-05-05 22:33:19","45051.939803241","9.7","85"
"2023-05-05 22:43:19","45051.946747685","9.6","85"
"2023-05-05 22:53:19","45051.95369213","9.6","85"
"2023-05-05 23:03:19","45051.960636574","9.6","85"
"2023-05-05 23:13:19","45051.967581019","9.5","85"
"2023-05-05 23:23:19","45051.974525463","9.5","85"
"2023-05-05 23:33:19","45051.981469907","9.5","85"
"2023-05-05 23:43:19","45051.988414352","9.5","85"
"2023-05-05 23:53:19","45051.995358796","9.5","86"
"2023-05-06 00:03:19","45052.002303241","9.4","86"
"2023-05-06 00:13:19","45052.009247685","9.4","86"
"2023-05-06 00:23:19","45052.01619213","9.4","86"
"2023-05-06 00:33:19","45052.023136574","9.4","86"
"2023-05-06 00:43:19","45052.030081019","9.3","86"
"2023-05-06 00:53:19","45052.037025463","9.3","86"
"2023-05-06 01:03:19","45052.043969907","9.3","86"
"2023-05-06 01:13:19","45052.050914352","9.3","86"
"2023-05-06 01:23:19","45052.057858796","9.3","86"
"2023-05-06 01:33:19","45052.064803241","9.2","86"
"2023-05-06 01:43:19","45052.071747685","9.2","86"
"2023-05-06 01:53:19","45052.07869213","9.2","86"
"2023-05-06 02:03:19","45052.085636574","9.2","86"
"2023-05-06 02:13:19","45052.092581019","9.1","86"
"2023-05-06 02:23:19","45052.099525463","9.1","86"
"2023-05-06 02:33:19","45052.106469907","9.1","86"
"2023-05-06 02:43:19","45052.113414352","9.1","86"
"2023-05-06 02:53:19","45052.120358796","9.1","86"
"2023-05-06 03:03:19","45052.127303241","9.0","87"
"2023-05-06 03:13:19","45052.134247685","9.0","87"
"2023-05-06 03:23:19","45052.14119213","9.0","87"
"2023-05-06 03:33:19","45052.148136574","9.0","87"
"2023-05-06 03:43:19","45052.155081019","9.0","87"
"2023-05-06 03:53:19","45052.162025463","8.9","87"
"2023-05-06 04:03:19","45052.168969907","8.9","87"
"2023-05-06 04:13:19","45052.175914352","8.9","87"
"2023-05-06 04:23:19","45052.182858796","8.9","87"
"2023-05-06 04:33:19","45052.189803241","8.9","87"
"2023-05-06 04:43:19","45052.196747685","8.8","87"
"2023-05-06 04:53:19","45052.20369213","8.8","87"
"2023-05-06 05:03:19","45052.210636574","8.8","87"
"2023-05-06 05:13:19","45052.217581019","8.8","87"
"2023-05-06 05:23:19","45052.224525463","8.8","87"
"2023-05-06 05:33:19","45052.231469907","8.8","87"
"2023-05-06 05:43:19","45052.238414352","8.7","87"
"2023-05-06 05:53:19","45052.245358796","8.7","87"
"2023-05-06 06:03:19","45052.252303241","8.7","87"
"2023-05-06 06:13:19","45052.259247685","8.7","87"
"2023-05-06 06:23:19","45052.26619213","8.7","87"
"2023-05-06 06:33:19","45052.273136574","8.6","87"
"2023-05-06 06:43:19","45052.280081019","8.6","87"
"2023-05-06 06:53:19","45052.287025463","8.6","88"
"2023-05-06 07:03:19","45052.293969907","8.6","88"
"2023-05-06 07:13:19","45052.300914352","8.6","88"
"2023-05-06 07:23:19","45052.307858796","8.6","88"
"2023-05-06 07:33:19","45052.314803241","8.5","88"
"2023-05-06 07:43:19","45052.321747685","8.5","88"
"2023-05-06 07:53:19","45052.32869213","8.5","88"
"2023-05-06 08:03:19","45052.335636574","8.5","88"
"2023-05-06 08:13:19","45052.342581019","8.5","88"
"2023-05-06 08:23:19","45052.349525463","8.5","88"
"2023-05-06 08:33:19","45052.356469907","8.5","88"
"2023-05-06 08:43:19","45052.363414352","8.5","88"
"2023-05-06 08:53:19","45052.370358796","8.5","88"
"2023-05-06 09:03:19","45052.377303241","8.5","88"
"2023-05-06 09:13:19","45052.384247685","8.4","88"
"2023-05-06 09:23:19","45052.39119213","8.4","88"
"2023-05-06 09:33:19","45052.398136574","8.5","88"
"2023-05-06 09:43:19","45052.405081019","8.5","89"
"2023-05-06 09:53:19","45052.412025463","8.5","89"
"2023-05-06 10:03:19","45052.418969907","8.5","89"
"2023-05-06 10:13:19","45052.425914352","8.5","89"
"2023-05-06 10:23:19","45052.432858796","8.5","89"
"2023-05-06 10:33:19","45052.439803241","8.5","89"
"2023-05-06 10:43:19","45052.446747685","8.5","89"
"2023-05-06 10:53:19","45052.45369213","8.5","89"
"2023-05-06 11:03:19","45052.460636574","8.6","89"
"2023-05-06 11:13:19","45052.467581019","8.6","89"
"2023-05-06 11:23:19","45052.474525463","8.6","89"
"2023-05-06 11:33:19","45052.481469907","8.6","88"
"2023-05-06 11:43:19","45052.488414352","8.7","88"
"2023-05-06 11:53:19","45052.495358796","8.7","88"
"2023-05-06 12:03:19","45052.502303241","8.7","88"
"2023-05-06 12:13:19","45052.509247685","8.7","89"
"2023-05-06 12:23:19","45052.51619213","8.7","89"
"2023-05-06 12:33:19","45052.523136574","8.7","89"
"2023-05-06 12:43:19","45052.530081019","8.7","89"
"2023-05-06 12:53:19","45052.537025463","8.7","89"
"2023-05-06 13:03:19","45052.543969907","8.7","89"
"2023-05-06 13:13:19","45052.550914352","8.7","89"
"2023-05-06 13:23:19","45052.557858796","8.7","89"
"2023-05-06 13:33:19","45052.564803241","8.7","89"
"2023-05-06 13:43:19","45052.571747685","8.7","89"
"2023-05-06 13:53:19","45052.57869213","8.7","89"
"2023-05-06 14:03:19","45052.585636574","8.7","89"
"2023-05-06 14:13:19","45052.592581019","8.7","89"
"2023-05-06 14:23:19","45052.599525463","8.7","89"
"2023-05-06 14:33:19","45052.606469907","8.7","89"
"2023-05-06 14:43:19","45052.613414352","8.7","89"
"2023-05-06 14:53:19","45052.620358796","8.7","89"
"2023-05-06 15:03:19","45052.627303241","8.7","89"
"2023-05-06 15:13:19","45052.634247685","8.7","89"
"2023-05-06 15:23:19","45052.64119213","8.7","89"
"2023-05-06 15:33:19","45052.648136574","8.7","89"
"2023-05-06 15:43:19","45052.655081019","8.7","89"
"2023-05-06 15:53:19","45052.662025463","8.7","89"
"2023-05-06 16:03:19","45052.668969907","8.7","89"
"2023-05-06 16:13:19","45052.675914352","8.7","89"
"2023-05-06 16:23:19","45052.682858796","8.6","89"
"2023-05-06 16:33:19","45052.689803241","8.6","89"
"2023-05-06 16:43:19","45052.696747685","8.6","89"
"2023-05-06 16:53:19","45052.70369213","8.6","89"
"2023-05-06 17:03:19","45052.710636574","8.6","89"
"2023-05-06 17:13:19","45052.717581019","8.5","89"
"2023-05-06 17:23:19","45052.724525463","8.5","89"
"2023-05-06 17:33:19","45052.731469907","8.5","89"
"2023-05-06 17:43:19","45052.738414352","8.4","89"
"2023-05-06 17:53:19","45052.745358796","8.4","89"
"2023-05-06 18:03:19","45052.752303241","8.4","89"
"2023-05-06 18:13:19","45052.759247685","8.3","89"
"2023-05-06 18:23:19","45052.76619213","8.3","89"
"2023-05-06 18:33:19","45052.773136574","8.3","89"
"2023-05-06 18:43:19","45052.780081019","8.3","89"
"2023-05-06 18:53:19","45052.787025463","8.2","89"
"2023-05-06 19:03:19","45052.793969907","8.2","89"
"2023-05-06 19:13:19","45052.800914352","8.2","89"
"2023-05-06 19:23:19","45052.807858796","8.1","89"
"2023-05-06 19:33:19","45052.814803241","8.1","89"
"2023-05-06 19:43:19","45052.821747685","8.1","89"
"2023-05-06 19:53:19","45052.82869213","8.0","89"
"2023-05-06 20:03:19","45052.835636574","8.0","89"
"2023-05-06 20:13:19","45052.842581019","8.0","89"
"2023-05-06 20:23:19","45052.849525463","8.0","89"
"2023-05-06 20:33:19","45052.856469907","7.9","89"
"2023-05-06 20:43:19","45052.863414352","7.9","89"
"2023-05-06 20:53:19","45052.870358796","7.9","89"
"2023-05-06 21:03:19","45052.877303241","7.9","89"
"2023-05-06 21:13:19","45052.884247685","7.9","89"
"2023-05-06 21:23:19","45052.89119213","7.9","89"
"2023-05-06 21:33:19","45052.898136574","7.9","89"
"2023-05-06 21:43:19","45052.905081019","7.9","89"
"2023-05-06 21:53:19","45052.912025463","7.8","89"
"2023-05-06 22:03:19","45052.918969907","7.8","89"
"2023-05-06 22:13:19","45052.925914352","7.8","89"
"2023-05-06 22:23:19","45052.932858796","7.8","89"
"2023-05-06 22:33:19","45052.939803241","7.8","89"
"2023-05-06 22:43:19","45052.946747685","7.8","89"
"2023-05-06 22:53:19","45052.95369213","7.8","89"
"2023-05-06 23:03:19","45052.960636574","7.7","89"
"2023-05-06 23:13:19","45052.967581019","7.7","89"
"2023-05-06 23:23:19","45052.974525463","7.7","89"
"2023-05-06 23:33:19","45052.981469907","7.7","89"
"2023-05-06 23:43:19","45052.988414352","7.7","89"
"2023-05-06 23:53:19","45052.995358796","7.7","89"
"2023-05-07 00:03:19","45053.002303241","7.7","89"
"2023-05-07 00:13:19","45053.009247685","7.6","89"
"2023-05-07 00:23:19","45053.01619213","7.6","89"
"2023-05-07 00:33:19","45053.023136574","7.6","89"
"2023-05-07 00:43:19","45053.030081019","7.6","89"
"2023-05-07 00:53:19","45053.037025463","7.6","89"
"2023-05-07 01:03:19","45053.043969907","7.6","89"
"2023-05-07 01:13:19","45053.050914352","7.6","89"
"2023-05-07 01:23:19","45053.057858796","7.6","89"
"2023-05-07 01:33:19","45053.064803241","7.5","89"
"2023-05-07 01:43:19","45053.071747685","7.5","89"
"2023-05-07 01:53:19","45053.07869213","7.5","89"
"2023-05-07 02:03:19","45053.085636574","7.5","89"
"2023-05-07 02:13:19","45053.092581019","7.5","89"
"2023-05-07 02:23:19","45053.099525463","7.5","89"
"2023-05-07 02:33:19","45053.106469907","7.5","89"
"2023-05-07 02:43:19","45053.113414352","7.5","89"
"2023-05-07 02:53:19","45053.120358796","7.5","89"
"2023-05-07 03:03:19","45053.127303241","7.5","89"
"2023-05-07 03:13:19","45053.134247685","7.5","89"
"2023-05-07 03:23:19","45053.14119213","7.5","89"
"2023-05-07 03:33:19","45053.148136574","7.4","89"
"2023-05-07 03:43:19","45053.155081019","7.4","89"
"2023-05-07 03:53:19","45053.162025463","7.4","89"
"2023-05-07 04:03:19","45053.168969907","7.4","89"
"2023-05-07 04:13:19","45053.175914352","7.4","89"
"2023-05-07 04:23:19","45053.182858796","7.4","89"
"2023-05-07 04:33:19","45053.189803241","7.4","89"
"2023-05-07 04:43:19","45053.196747685","7.4","90"
"2023-05-07 04:53:19","45053.20369213","7.4","90"
"2023-05-07 05:03:19","45053.210636574","7.3","90"
"2023-05-07 05:13:19","45053.217581019","7.3","90"
"2023-05-07 05:23:19","45053.224525463","7.3","90"
"2023-05-07 05:33:19","45053.231469907","7.3","90"
"2023-05-07 05:43:19","45053.238414352","7.3","90"
"2023-05-07 05:53:19","45053.245358796","7.3","90"
"2023-05-07 06:03:19","45053.252303241","7.3","90"
"2023-05-07 06:13:19","45053.259247685","7.3","90"
"2023-05-07 06:23:19","45053.26619213","7.3","90"
"2023-05-07 06:33:19","45053.273136574","7.3","90"
"2023-05-07 06:43:19","45053.280081019","7.2","90"
"2023-05-07 06:53:19","45053.287025463","7.2","90"
"2023-05-07 07:03:19","45053.293969907","7.2","90"
"2023-05-07 07:13:19","45053.300914352","7.2","90"
"2023-05-07 07:23:19","45053.307858796","7.2","90"
"2023-05-07 07:33:19","45053.314803241","7.2","90"
"2023-05-07 07:43:19","45053.321747685","7.2","90"
"2023-05-07 07:53:19","45053.32869213","7.2","90"
"2023-05-07 08:03:19","45053.335636574","7.2","90"
"2023-05-07 08:13:19","45053.342581019","7.2","90"
